,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
17,São Paulo,Meia,Rodrigo Nestor,8.51,-0.59,2.2,4.15,2,2,,,,,,1.0,,1.0,,,,,,2.0,,,,,2.0,,106822,276,4,0.0
18,Atlético-MG,Lateral,Rubens,11.92,4.56,13.5,9.95,2,2,,,,,,2.0,,,,,1.0,,,7.0,,,,,3.0,,110727,282,2,0.0
19,Corinthians,Meia,Fausto Vera,9.5,0.73,4.9,5.75,2,2,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,107950,264,4,0.0
20,Bragantino,Técnico,Pedro Caixinha,8.21,0.05,2.64,4.64,2,2,,,,,,,,,,,,,,,,,,,,,117711,280,6,0.0
21,América-MG,Zagueiro,Ricardo Silva,2.06,-0.52,0.9,0.45,2,2,,,,,,3.0,,,,,,,,,,,,,2.0,,79334,327,3,0.0
22,Palmeiras,Atacante,Endrick,8.03,-0.68,1.0499999999999998,4.1,2,2,,,,,,2.0,,,,,,,,,,,,,1.0,,115959,275,5,1.0499999999999998
23,São Paulo,Atacante,Calleri,17.95,1.76,11.5,10.8,2,2,1.0,,,1.0,2.0,5.0,,,,,,,,,,,,,6.0,,89840,276,5,0.0
24,Atlético-MG,Goleiro,Everson,2.58,-2.42,-1.0,-1.0,1,1,,,,,,,,,,,,,1.0,,,,,2.0,,,72294,282,1,0.0
25,Atlético-MG,Lateral,Saravia,6.32,-1.68,1.8,1.8,1,1,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,2.0,,96725,282,2,0.0
26,Fortaleza,Zagueiro,Titi,4.45,-1.55,0.9,0.9,1,1,,,,,,,,,,,,,,1.0,,,,,1.0,,50353,356,3,0.0
27,Fortaleza,Atacante,Thiago Galhardo,7.1,-3.9,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,71844,356,5,0.0
28,Grêmio,Meia,Vina,5.81,-3.19,0.0,0.0,1,1,,,,,,2.0,,,,,,,,,,,1.0,,,,71162,284,4,0.0
29,Palmeiras,Meia,Gabriel Menino,6.0,-2.0,1.3,1.3,1,1,,,,,1.0,1.0,,,,,,,,,,,,,,,103767,275,4,0.0
30,Atlético-MG,Meia,Zaracho,7.81,-4.19,0.1,0.1,1,1,,,,,1.0,,,,,,,,,1.0,,,1.0,,3.0,,100079,282,4,0.0
31,Fluminense,Lateral,Samuel Xavier,11.1,4.1,10.2,10.2,1,1,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,73384,266,2,0.0
32,Fluminense,Zagueiro,Vitor Mendes,5.1,2.1,4.9,4.9,1,1,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,104401,266,3,0.0
33,Corinthians,Atacante,Róger Guedes,15.16,0.16,8.5,8.5,1,1,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,89898,264,5,0.0
34,Fortaleza,Técnico,Juan Vojvoda,9.19,-0.81,4.24,4.24,1,1,,,,,,,,,,,,,,,,,,,,,104754,356,6,0.0
35,Palmeiras,Atacante,Endrick,8.71,2.71,7.5,7.5,1,1,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959,275,5,0.0
